fieldtrip	point	trap	trap_code	tslf	treatment	Latitude	Longitude	elevation	obs
C3	7	D	C3-7D	4	C	-11.132791	-46.674099	709.87	NA
C3	8	A	C3-8A	4	C	-11.144908	-46.662423	680.99	NA
C3	8	B	C3-8B	4	C	-11.145961	-46.662354	676.38	NA
C3	8	C	C3-8C	4	C	-11.146304	-46.663457	678.74	NA
C3	8	D	C3-8D	4	C	-11.145247	-46.663664	676.14	NA
C4	1	A	C4-1A	1	C	-11.139153	-46.63057	661.77	NA
C4	1	B	C4-1B	1	C	-11.140677	-46.630945	650.95	NA
C4	1	C	C4-1C	1	C	-11.140272	-46.632464	664.56	NA
C4	1	D	C4-1D	1	C	-11.13884	-46.632013	649.96	NA
C4	2	A	C4-2A	1	C	-11.135872	-46.641	664.15	NA
C4	2	B	C4-2B	1	C	-11.137185	-46.641638	660.55	NA
C4	2	C	C4-2C	1	C	-11.136616	-46.643031	661.1	NA
C4	2	D	C4-2D	1	C	-11.135341	-46.642383	652.36	NA
C4	3	A	C4-3A	1	C	-11.129468	-46.651094	649.02	NA
C4	3	B	C4-3B	1	C	-11.128828	-46.652409	657.08	NA
C4	3	C	C4-3C	1	C	-11.127411	-46.651953	658.48	NA
C4	3	D	C4-3D	1	C	-11.128105	-46.650534	655.28	NA
C4	4	A	C4-4A	2	Q	-11.141203	-46.679502	713.84	NA
C4	4	B	C4-4B	2	Q	-11.141591	-46.678042	716.69	fogo
C4	4	C	C4-4C	2	Q	-11.142978	-46.678366	725.86	NA
C4	4	D	C4-4D	2	Q	-11.142583	-46.679762	704.05	NA
C4	5	A	C4-5A	2	Q	-11.147101	-46.684988	718.07	NA
C4	5	B	C4-5B	2	Q	-11.14855	-46.684869	721.31	NA
C4	5	C	C4-5C	2	Q	-11.148738	-46.686442	715.63	NA
C4	5	D	C4-5D	2	Q	-11.147247	-46.686634	721.98	NA
C4	6	A	C4-6A	2	Q	-11.139821	-46.689609	685.7	NA
C4	6	B	C4-6B	2	Q	-11.13296	-46.688271	690.09	NA
C4	6	C	C4-6C	2	Q	-11.137659	-46.688958	668.34	NA
C4	6	D	C4-6D	2	Q	-11.138578	-46.690251	678.48	NA
C4	7	A	C4-7A	2	C	-11.11132	-46.708033	656.43	NA
C4	7	B	C4-7B	2	C	-11.112166	-46.709225	663.92	NA
C4	7	C	C4-7C	2	C	-11.110926	-46.710165	661.04	NA
C4	7	D	C4-7D	2	C	-11.110098	-46.709001	635.76	NA
C5	1	A	C5-1A	2	Q	-10.602658	-47.008416	411.6	NA
C5	1	B	C5-1B	2	Q	-10.603207	-47.009322	405.03	NA
C5	1	C	C5-1C	2	Q	-10.603955	-47.00845	407.75	NA
C5	1	D	C5-1D	2	Q	-10.603286	-47.007556	408.53	NA
C5	2	A	C5-2A	1	C	-10.594532	-47.016044	417.28	NA
C5	2	B	C5-2B	1	C	-10.593564	-47.015967	432.47	NA
C5	2	C	C5-2C	1	C	-10.593499	-47.015032	430.45	NA
C5	2	D	C5-2D	1	C	-10.594502	-47.014932	432.64	NA
C5	3	A	C5-3A	1	C	-10.592361	-47.026077	458.95	NA
C5	3	B	C5-3B	1	C	-10.592294	-47.026104	458.98	NA
C5	3	C	C5-3C	1	C	-10.591314	-47.024838	445.04	NA
C5	3	D	C5-3D	1	C	-10.59233	-47.024949	450.25	NA
C5	4	A	C5-4A	2	C	-10.594917	-47.053902	452.02	NA
C5	4	B	C5-4B	2	C	-10.594722	-47.052909	455.48	NA
C5	4	C	C5-4C	2	C	-10.595737	-47.053344	455.19	NA
C5	4	D	C5-4D	2	C	-10.595817	-47.054465	460.5	NA
C5	5	A	C5-5A	2	C	-10.595618	-47.062632	422.4	NA
C5	5	B	C5-5B	2	C	-10.595576	-47.061623	421.51	NA
C5	5	C	C5-5C	2	C	-10.596614	-47.06153	426.58	NA
C5	5	D	C5-5D	2	C	-10.596689	-47.062626	419.78	NA
C5	6	A	C5-6A	1	C	-10.593679	-47.070764	583.56	NA
C5	6	B	C5-6B	1	C	-10.59283	-47.07138	378.4	NA
C5	6	C	C5-6C	1	C	-10.593392	-47.072259	368.7	NA
C5	6	D	C5-6D	1	C	-10.594275	-47.0716	387.32	NA
C5	7	A	C5-7A	2	Q	-10.60957	-47.085598	401.75	NA
C5	7	B	C5-7B	2	Q	-10.610678	-47.085556	408.16	NA
C5	7	C	C5-7C	2	Q	-10.61114	-47.086454	400.56	NA
C5	7	D	C5-7D	2	Q	-10.610122	-47.086464	402.74	NA
C6	1	A	C6-1A	3	Q	-11.216912	-47.010981	496.89	NA
C6	1	B	C6-1B	3	Q	-11.217891	-47.011551	512.42	NA
C6	1	C	C6-1C	3	Q	-11.218513	-47.010789	515.92	NA
C6	1	D	C6-1D	3	Q	-11.217606	-47.010171	518.14	NA
C6	2	A	C6-2A	3	Q	-11.223661	-47.011064	528.52	NA
C6	2	B	C6-2B	3	Q	-11.224618	-47.010977	527.25	NA
C6	2	C	C6-2C	3	Q	-11.224509	-47.009866	515.61	NA
C6	2	D	C6-2D	3	Q	-11.223521	-47.009974	526.26	NA
C6	3	A	C6-3A	3	C	-11.209775	-47.014235	542.61	NA
C6	3	B	C6-3B	3	C	-11.208786	-47.014179	532.86	NA
C6	3	C	C6-3C	3	C	-11.208643	-47.01518	532.29	NA
C6	3	D	C6-3D	3	C	-11.209604	-47.015219	529.06	NA
C6	4	A	C6-4A	5	C/Q	-11.21593	-46.996169	551.81	NA
C6	4	B	C6-4B	5	C/Q	-11.21593	-46.996169	554.88	NA
C6	4	C	C6-4C	5	C/Q	-11.214423	-46.995687	549.74	NA
C6	4	D	C6-4D	5	C/Q	-11.214942	-46.996659	564.63	NA
C6	5	A	C6-5A	3	C	-11.173	-47.013215	514.66	NA
C6	5	B	C6-5B	3	C	-11.173341	-47.014155	509.28	NA
C6	5	C	C6-5C	3	C	-11.174214	-47.013702	500.08	NA
C6	5	D	C6-5D	3	C	-11.173917	-47.012681	506.02	NA
C6	6	A	C6-6A	5	Q	-11.206905	-47.000047	548.94	NA
C6	6	B	C6-6B	5	Q	-11.206903	-46.99911	527.88	NA
C6	6	C	C6-6C	5	Q	-11.205802	-46.999079	526.18	NA
C6	6	D	C6-6D	5	Q	-11.205861	-47.000111	542.66	NA
NA	A2	NA	NA	NA	A2_1	-11.115006	-46.787155	NA	NA
NA	A2	NA	NA	NA	A2_10	-11.112436	-46.787803	NA	NA
NA	A2	NA	NA	NA	A2_11	-11.112365	-46.788079	NA	NA
NA	A2	NA	NA	NA	A2_12	-11.111893	-46.787984	NA	NA
NA	A2	NA	NA	NA	A2_2	-11.11471	-46.787031	NA	NA
NA	A2	NA	NA	NA	A2_3	-11.114428	-46.78732	NA	NA
NA	A2	NA	NA	NA	A2_4	-11.114115	-46.787193	NA	NA
NA	A2	NA	NA	NA	A2_5	-11.113908	-46.787518	NA	NA
NA	A2	NA	NA	NA	A2_6	-11.113484	-46.787324	NA	NA
NA	A2	NA	NA	NA	A2_7	-11.113322	-46.787638	NA	NA
NA	A2	NA	NA	NA	A2_8	-11.112989	-46.787483	NA	NA
NA	A2	NA	NA	NA	A2_9	-11.11282	-46.78783	NA	NA
NA	A1	NA	NA	NA	A1_1	-11.108882	-46.776822	NA	NA
NA	A1	NA	NA	NA	A1_10	-11.107078	-46.778468	NA	NA
NA	A1	NA	NA	NA	A1_11	-11.107034	-46.778853	NA	NA
NA	A1	NA	NA	NA	A1_12	-11.106699	-46.779053	NA	NA
NA	A1	NA	NA	NA	A1_2	-11.108576	-46.776923	NA	NA
NA	A1	NA	NA	NA	A1_3	-11.108562	-46.777203	NA	NA
NA	A1	NA	NA	NA	A1_4	-11.108202	-46.777345	NA	NA
NA	A1	NA	NA	NA	A1_5	-11.108155	-46.777659	NA	NA
NA	A1	NA	NA	NA	A1_6	-11.107845	-46.777622	NA	NA
NA	A1	NA	NA	NA	A1_7	-11.107801	-46.778093	NA	NA
NA	A1	NA	NA	NA	A1_8	-11.107449	-46.77813	NA	NA
NA	A1	NA	NA	NA	A1_9	-11.107417	-46.778458	NA	NA
NA	A3	NA	NA	NA	A3_1	-11.176192	-46.841443	NA	NA
NA	A3	NA	NA	NA	A3_10	-11.174915	-46.843739	NA	NA
NA	A3	NA	NA	NA	A3_11	-11.174932	-46.844019	NA	NA
NA	A3	NA	NA	NA	A3_12	-11.174597	-46.844188	NA	NA
NA	A3	NA	NA	NA	A3_2	-11.175947	-46.841764	NA	NA
NA	A3	NA	NA	NA	A3_3	-11.176036	-46.84215	NA	NA
NA	A3	NA	NA	NA	A3_4	-11.17574	-46.842225	NA	NA
NA	A3	NA	NA	NA	A3_5	-11.17576	-46.842608	NA	NA
NA	A3	NA	NA	NA	A3_6	-11.175461	-46.842739	NA	NA
NA	A3	NA	NA	NA	A3_7	-11.175497	-46.843079	NA	NA
NA	A3	NA	NA	NA	A3_8	-11.175273	-46.843208	NA	NA
NA	A3	NA	NA	NA	A3_9	-11.175206	-46.843612	NA	NA
NA	A4	NA	NA	NA	A4_1	-11.126046	-46.73866	NA	NA
NA	A4	NA	NA	NA	A4_10	-11.127496	-46.736773	NA	NA
NA	A4	NA	NA	NA	A4_11	-11.127448	-46.736429	NA	NA
NA	A4	NA	NA	NA	A4_12	-11.127841	-46.736383	NA	NA
NA	A4	NA	NA	NA	A4_2	-11.126405	-46.738502	NA	NA
NA	A4	NA	NA	NA	A4_3	-11.126406	-46.738202	NA	NA
NA	A4	NA	NA	NA	A4_4	-11.12675	-46.738111	NA	NA
NA	A4	NA	NA	NA	A4_5	-11.12683	-46.73782	NA	NA
NA	A4	NA	NA	NA	A4_6	-11.127135	-46.737725	NA	NA
NA	A4	NA	NA	NA	A4_7	-11.12697	-46.737409	NA	NA
NA	A4	NA	NA	NA	A4_8	-11.127309	-46.737253	NA	NA
NA	A4	NA	NA	NA	A4_9	-11.127182	-46.736936	NA	NA
