# Capture histories exported from 'Ajalapensis.CHxy' 
# Fri Aug 22 15:49:36 2025 
# Session ID Occasion Detector Plot 
4 SGT00974 2 43 3
4 SGT00974 3 43 3
4 SGT00974 9 43 3
4 SGT00975 11 37 3
4 SGT00980 11 45 3
4 SGT01023 12 36 2
4 SGT01024 12 38 3
4 SGT01026 12 47 3
4 SGT01027 12 48 3
4 SGT01027 13 48 3
4 SGT01031 13 26 2
4 SGT01040 14 12 4
4 SGT01042 14 8 4
4 SGT01058 14 42 3
4 SGT01059 14 44 3
4 SGT01060 14 44 3
4 SGT01066 15 12 4
4 SGT01069 15 6 4
4 SGT01074 15 2 4
4 SGT01083 15 30 2
4 SGT01086 15 34 2
4 SGT01089 15 45 3
4 SGT01110 1 20 1
4 SGT01111 1 22 1
4 SGT01113 1 24 1
4 SGT01133 2 36 2
